id;symbol;name;current_price;market_cap;total_volume
bitcoin;btc;Bitcoin;89897.0;1796373187657;69570312001
ethereum;eth;Ethereum;3016.59;364694489008;21983799890
tether;usdt;Tether;0.999847;184501394271;86661703121
ripple;xrp;XRP;2.22;133953604365;4091225474
binancecoin;bnb;BNB;892.74;122974687415;1505449081
solana;sol;Solana;143.15;80147655972;5969297569
usd-coin;usdc;USDC;0.999803;75437341522;12444750559
tron;trx;TRON;0.27701;26226909802;550528731
staked-ether;steth;Lido Staked Ether;3014.43;26038343491;33696364
dogecoin;doge;Dogecoin;0.155601;23671126491;1593143637
